Метод,x,y,Погрешность
Runge-Kutta 4-го порядка,2.3125,4.7888183593749964,0.0
Runge-Kutta 4-го порядка,2.328125,4.872941335042314,0.0
Runge-Kutta 4-го порядка,2.34375,4.9582010904947875,0.0
Runge-Kutta 4-го порядка,2.359375,5.044605255126949,0.0
Runge-Kutta 4-го порядка,2.375,5.132161458333329,0.0
Runge-Kutta 4-го порядка,2.390625,5.2208773295084585,0.0
Runge-Kutta 4-го порядка,2.40625,5.31076049804687,0.0
Runge-Kutta 4-го порядка,2.421875,5.401818593343093,0.0
Runge-Kutta 4-го порядка,2.4375,5.494059244791661,0.0
Runge-Kutta 4-го порядка,2.453125,5.587490081787103,0.0
Runge-Kutta 4-го порядка,2.46875,5.682118733723952,0.0
Runge-Kutta 4-го порядка,2.484375,5.777952829996738,0.0
Runge-Kutta 4-го порядка,2.5,5.874999999999993,0.0
Runge-Kutta 4-го порядка,2.515625,5.973267873128248,0.0
Runge-Kutta 4-го порядка,2.53125,6.072764078776034,0.0
Runge-Kutta 4-го порядка,2.546875,6.173496246337883,0.0
Runge-Kutta 4-го порядка,2.5625,6.275472005208325,0.0
Runge-Kutta 4-го порядка,2.578125,6.3786989847818925,0.0
Runge-Kutta 4-го порядка,2.59375,6.483184814453116,0.0
Runge-Kutta 4-го порядка,2.609375,6.588937123616527,0.0
Runge-Kutta 4-го порядка,2.625,6.695963541666657,0.0
Runge-Kutta 4-го порядка,2.640625,6.804271697998037,0.0
Runge-Kutta 4-го порядка,2.65625,6.913869222005198,0.0
Runge-Kutta 4-го порядка,2.671875,7.024763743082672,0.0
Runge-Kutta 4-го порядка,2.6875,7.136962890624989,0.0
Runge-Kutta 4-го порядка,2.703125,7.250474294026682,0.0
Runge-Kutta 4-го порядка,2.71875,7.36530558268228,0.0
Runge-Kutta 4-го порядка,2.734375,7.481464385986317,0.0
Runge-Kutta 4-го порядка,2.75,7.5989583333333215,0.0
Runge-Kutta 4-го порядка,2.765625,7.717795054117826,0.0
Runge-Kutta 4-го порядка,2.7734375,7.777719338734933,0.0
Runge-Kutta 4-го порядка,2.78125,7.8379821777343635,0.0
Runge-Kutta 4-го порядка,2.7890625,7.898584524790435,0.0
Runge-Kutta 4-го порядка,2.796875,7.959527333577463,0.0
Runge-Kutta 4-го порядка,2.8046875,8.020811557769765,0.0
Runge-Kutta 4-го порядка,2.8125,8.082438151041655,0.0
Runge-Kutta 4-го порядка,2.8203125,8.144408067067452,0.0
Runge-Kutta 4-го порядка,2.828125,8.206722259521472,0.0
Runge-Kutta 4-го порядка,2.8359375,8.26938168207803,0.0
Runge-Kutta 4-го порядка,2.84375,8.332387288411445,0.0
Runge-Kutta 4-го порядка,2.8515625,8.39574003219603,0.0
Runge-Kutta 4-го порядка,2.859375,8.459440867106105,0.0
Runge-Kutta 4-го порядка,2.8671875,8.523490746815984,0.0
Runge-Kutta 4-го порядка,2.875,8.587890624999984,0.0
Runge-Kutta 4-го порядка,2.8828125,8.652641455332422,0.0
Runge-Kutta 4-го порядка,2.890625,8.717744191487613,0.0
Runge-Kutta 4-го порядка,2.8984375,8.783199787139875,0.0
Runge-Kutta 4-го порядка,2.90625,8.849009195963523,0.0
Runge-Kutta 4-го порядка,2.9140625,8.915173371632875,0.0
Runge-Kutta 4-го порядка,2.921875,8.981693267822246,0.0
Runge-Kutta 4-го порядка,2.9296875,9.048569838205953,0.0
Runge-Kutta 4-го порядка,2.9375,9.115804036458313,0.0
Runge-Kutta 4-го порядка,2.9453125,9.18339681625364,0.0
Runge-Kutta 4-го порядка,2.953125,9.251349131266254,0.0
Runge-Kutta 4-го порядка,2.9609375,9.319661935170469,0.0
Runge-Kutta 4-го порядка,2.96875,9.388336181640602,0.0
Runge-Kutta 4-го порядка,2.9765625,9.45737282435097,0.0
Runge-Kutta 4-го порядка,2.984375,9.526772816975887,0.0
Runge-Kutta 4-го порядка,2.9921875,9.596537113189672,0.0
Runge-Kutta 4-го порядка,3.0,9.666666666666641,0.0
Runge-Kutta 4-го порядка,3.0078125,9.73716243108111,0.0
Runge-Kutta 4-го порядка,3.015625,9.808025360107395,0.0
Runge-Kutta 4-го порядка,3.0234375,9.879256407419813,0.0
